pmid,title,abstract,authors,journal,year,doi
39706014,"Effects of mixed exposure to PFAS on adolescent non-alcoholic fatty liver disease: Integrating evidence from human cohorts, toxicogenomics, and animal models to uncover mechanisms and potential target sites.","Extensive evidence suggests a correlation between environmental pollutants, specifically perfluoroalkyl and polyfluoroalkyl substances (PFAS) and non-alcoholic fatty liver disease (NAFLD). This study aims to investigate the association and underlying mechanisms of PFAS-induced NAFLD in adolescents by employing a comprehensive approach of population-based studies, toxicogenomics, and animal models. A total of 2014 freshmen from Dali University were recruited for this study, with 1694 participants undergoing serum testing for PFAS exposure. Additionally, Comparative Toxicogenomics Database analysis and PFAS exposure experiments were conducted by orally administering PFAS to 8-week-old adult C57/6 J mice for 28 days. Epidemiological analysis of the adolescent cohort revealed that perfluorohexanesulfonic acid and perfluorooctanoic acid are significant risk factors for NAFLD in adolescents. Toxicogenomic analysis revealed that the negative regulation of gap junction assembly and glutathione derivative biosynthesis contributes to NAFLD development. Animal model studies further demonstrated that combined PFAS exposure led to pathological changes in hepatocytes, including inflammation and steatosis, elevated liver enzymes, cholestasis, and bile canalicular blockage. This study reveals that PFAS exposure serves as a significant risk factor for hepatic steatosis/NAFLD in adolescents. The activation of cytochrome P4502E1 and glutathione S-transferase A1 signaling highlights new molecular targets for PFAS-induced disruptions in hepatic lipid metabolism.",Du Xiushuai; Li Dan-Lin; Xu Xueming; Wu Yitian; Du Zhiyuan,Journal of hazardous materials,2025,10.1016/j.jhazmat.2024.136854
40609510,"Per- and polyfluoroalkyl substances, genetic factors, and sleep health in reproductive-aged women: a cross-sectional study of the Shanghai Birth Cohort.","Perfluoroalkyl and polyfluoroalkyl substances (PFAS) may exert neurotoxic effects and disrupt endocrine function. However, the relationship between PFAS exposure and sleep disturbances in reproductive-aged women, and its interaction with genetic susceptibility, remains unclear. This study included 971 women from the Shanghai Birth Cohort preconception cohort. A total of 22 PFAS were measured in plasma, and sleep quality was assessed using the Pittsburgh Sleep Quality Index. Modified Poisson regression and quantile g-computation models estimated the effects of individual PFAS and PFAS mixtures on sleep disturbances. Polygenic risk scores were used to evaluate the cumulative genetic effects of sleep disturbances. 6:2Cl-PFESA was associated with increased snoring and less daytime dysfunction, though these associations did not remain significant after FDR correction. Exposure to PFAS mixtures was significantly associated with an increased risk of snoring (RR: 2.02, 95 % CI: 1.06-3.83). Significant associations between PFNA, PFDA, branched PFOS isomers, and chlorinated PFOS alternatives and increased snoring risk were observed in women with a high genetic predisposition. PFAS exposures and genetic variants showed additive effects on snoring risk, with RERI of 1.19 for PFNA, 1.06 for PFDA, 4.18 for 8: 2Cl - PFESA, 0.43 for 6: 2Cl - PFESA, 5.96 for 3 m-PFOS, 11.11 for 1 m - PFOS, and 0.40 for n-PFOS. These findings suggest PFAS exposure, particularly emerging alternatives and isomers of PFOS, may increase snoring risk in reproductive-aged women with a higher genetic predisposition.",Wu Ruisi; He Xiaoqing; Jiang Wen; Han Azhu; Tian Ying,Environment international,2025,10.1016/j.envint.2025.109656
35618144,Application of soil amendments for reducing PFAS leachability and bioavailability.,"In this study, changes in PFAS leachability and bioavailability were determined following the application of RemBind®100 (R100) and RemBind®300 (R300; 1-10% w/w) to PFAS-contaminated soil (Ʃ",Juhasz Albert L; Kastury Farzana; Herde Carina; Tang Wayne,"Environmental pollution (Barking, Essex : 1987)",2022,10.1016/j.envpol.2022.119498
40852864,Assessing the Carcinogenic Potential of PFOA: A Molecular Network Approach to Liver Toxicity.,"Perfluorooctanoic acid (PFOA), a prototypical per- and polyfluoroalkyl substance (PFAS), is widely used in industrial and consumer products but is classified as a Group 1 carcinogen by the IARC due to its environmental persistence and bioaccumulation. PFOA primarily targets the liver, inducing stress responses and mitochondrial-mediated apoptosis, while promoting hepatoma cell proliferation through the mTOR pathway. To investigate the molecular mechanisms of PFOA-induced liver cancer (LIHC), we will use a network toxicology approach that integrates multi-omics data to construct a compound-target-disease network, focusing on potential targets like ALDH1B1, which encodes the aldehyde dehydrogenase family in the major pathway of alcohol metabolism. It is hypothesized that hepatic metabolic homeostasis is disrupted and hepatocellular carcinogenesis is ultimately promoted by PFOA through direct binding to ALDH1B1 and interference with its function. To confirm this, we will employ molecular docking and dynamics simulations to validate the binding interactions and toxicity mechanisms at the molecular level. This research aims to provide a comprehensive understanding of PFOA's hepatotoxicity and carcinogenicity while identifying potential targets for risk assessment and intervention strategies related to environmental exposure.",Tan Libi; She Tianyu; Huo Siyan; Lin Rubing; Cheng Nannan,Basic & clinical pharmacology & toxicology,2025,10.1111/bcpt.70101
41161260,Risk assessment and distribution of PFAS in a biological phosphorus recovery sludge used for agriculture.,"The growing demand for phosphorus recovery from wastewater has increased interest in Enhanced Biological Phosphorus Removal (EBPR) processes. However, the fate of per- and polyfluoroalkyl substances (PFAS) in EBPR-derived biosolids remains poorly understood. This study investigated the adsorption behavior of four PFAS: perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), perfluorooctanesulfonamide (PFOSA), and perfluorotetradecanoic acid (PFTDA) in EBPR sludge and assessed the long-term soil risks following biosolid application. Results showed that PFAS adsorption was significantly influenced by the matrix type, with EBPR sludge exhibiting stronger adsorption than particulate matter in wastewater. Adsorption affinity followed the order: PFOA < PFOS < PFTDA < PFOSA, and was not affected by anaerobic and aerobic conditions or spiking levels. Log K",Ardiyanti Rizza; Azrague Kamal; Østerhus Stein W; Gonzales-Silva Blanca M; Asimakopoulos Alexandros G,Chemosphere,2025,10.1016/j.chemosphere.2025.144730
40925316,"Mapping PFAS behavior via meta-analysis of soil dynamics, predictive modeling and policy integration.","Per- and polyfluoroalkyl substances (PFAS) are persistent organic pollutants with increasing prevalence in agricultural soils, primarily introduced through biosolid application, wastewater irrigation, and atmospheric deposition. This review provides a meta-analysis of terminologies across 145 peer-reviewed studies, identifying inconsistency in the classification of PFAS subgroups-such as ""long-chain vs. short-chain,"" ""precursors,"" and ""emerging PFAS""-which hinders regulatory harmonization and model calibration. Empirical data reveal PFAS leaching depths ranging from 3 cm in sandy soils under low irrigation (1500 ng/L) to 10 cm in clay under high irrigation (200 ng/L). Analytical advances, including LC-MS/MS and hyperspectral drone imaging, enable detection limits below 0.05 μg/kg and hotspot identification at 1 m spatial resolution. Modeling tools like HYDRUS, MODFLOW-MT3DMS, and CalTOX simulate PFAS transport, bioaccumulation, and degradation with increasing fidelity. Biochar application reduced PFOS leaching by >80 %, and plasma treatment achieved 95 % PFAS degradation within 2 h. A global policy comparison reveals fragmented regulatory frameworks: the U.S. EPA promotes voluntary monitoring and advisory levels (e.g., 4 ng/L for PFOA+PFOS in water), while the EU progresses toward enforceable soil thresholds and PFAS phase-outs under REACH. Austria's ÖNORM S 2088-2 integrates human, plant, and ecological endpoints, contrasting with the USDA's BMP (Best Management Practices)-driven mitigation. The review advocates for terminology standardization, integration of multi-model transport and fate simulations, and hybrid remediation strategies. Policy convergence, driven by data transparency and international scientific cooperation, is imperative to safeguard soil health, food safety, and ecological resilience in PFAS-impacted agroecosystems.",Srivastava Rajiv Kumar; Srivastava Shubhangi,The Science of the total environment,2025,10.1016/j.scitotenv.2025.180399
41296448,Perfluoroalkyl Substances (PFAS) and Lipid Metabolism in Experimental Animal Models: A Scoping Review on the Mechanisms Behind the Induced Hepatotoxicity.,"Per and polyfluoroalkyl substances (PFAS) are a class of synthetic, persistent environmental pollutants detected in biological systems and increasingly recognized for their harmful effects on human health. The liver, being a central organ in the metabolism of xenobiotics, is profoundly affected by these compounds and is a main target of PFAS-induced toxicity. The purpose of the present Scoping Review is to investigate the multiple and complex mechanisms behind PFAS hepatotoxicity, taking into consideration evidence from preclinical in vivo models. Using electronic databases (PubMed and Google Scholar), a total of 38 studies were found eligible to be extensively explored to gather information regarding PFAS toxicity toward hepatic lipid metabolism, oxidative stress, injury and inflammation. Moreover, the parental exposure of these chemicals on the offspring will be discussed as well. As illustrated in the proposed graphical abstract, PFAS exposure has been linked to the triggering of oxidative stress phenomena, mitochondrial dysfunction and hepatic inflammatory infiltrate with sex specific effects in rodents. The predominant effects manifest as the overproduction of reactive oxygen species (ROS), the disruption of hepatic lipid metabolism, and the activation of several nuclear transcription factors involved in lipid regulation, with PPAR-α being the most prominent. Considering their strong bioaccumulative properties and persistence in both the environment and the human body, legacy and emerging PFAS should be regarded as potent toxicants with a distinctive role in the onset of metabolic diseases and as a pressing issue to be addressed within regulatory policies.",Tancreda Gabriele; Campisi Luca; Sarti Matteo; Pozzo Luisa; Vornoli Andrea,Current issues in molecular biology,2025,10.3390/cimb47110944
39133093,Dioxins vs. PFAS: Science and Policy Challenges.,"Dioxin-like chemicals are a group of ubiquitous environmental toxicants that received intense attention in the last two decades of the 20th century. Through extensive mechanistic research and validation, the global community has agreed upon a regulatory strategy for these chemicals that centers on their common additive activation of a single receptor. Applying these regulations has led to decreased exposure in most populations studied. As dioxin-like chemicals moved out of the limelight, research and media attention has turned to other concerning contaminants, including per- and polyfluoroalkyl substances (PFAS). During the 20th century, PFAS were also being quietly emitted into the environment, but only in the last 20 years have we realized the serious threat they pose to health. There is active debate about how to appropriately classify and regulate the thousands of known PFAS and finding a solution for these ""forever chemicals"" is of the utmost urgency. Here, we compare important features of dioxin-like chemicals and PFAS, including the history, mechanism of action, and effective upstream regulatory strategies, with the objective of gleaning insight from the past to improve strategies for addressing PFAS. The differences between these two chemical classes means that regulatory strategies for dioxin-like chemicals will not be appropriate for PFAS. PFAS exert toxicity by both receptor-based and nonreceptor-based mechanisms, which complicates mixtures evaluation and stymies efforts to develop inexpensive assays that accurately capture toxicity. Furthermore, dioxin-like chemicals were unwanted byproducts, but PFAS are useful and valuable, which has led to intense resistance against efforts to restrict their production. Nonetheless, useful lessons can be drawn from dioxin-like chemicals and applied to PFAS, including eliminating nonessential production of new PFAS and proactive investment in environmental remediation to address their extraordinarily long environmental persistence. https://doi.org/10.1289/EHP14449.",George Alex J; Birnbaum Linda S,Environmental health perspectives,2024,10.1289/EHP14449
41330097,Modeling pesticide and PFAS bioaccumulation in amphibians: integration of biphasic ecology and route specific uptake.,"Amphibians are sensitive indicators of environmental contamination due to their permeable skin and dual aquatic-terrestrial life cycle. A physiologically based kinetic (PBK) model was developed to quantify the bioaccumulation of pesticides and per- and polyfluoroalkyl substances (PFAS) in amphibians, linking two chemical classes with contrasting environmental behaviors. The model integrates multiple exposure routes and connects aquatic and terrestrial phases within a unified framework. Simulations show that PFAS exhibit greater accumulation potential than herbicidal pesticides. Pesticide uptake occurs mainly via terrestrial ingestion and aquatic dermal absorption, while PFAS accumulation is dominated by aquatic dermal uptake. Pesticide residues are largely controlled by metabolic clearance, whereas PFAS retention depends on physicochemical partitioning, chain length, and protein-binding affinity. Short-chain PFAS penetrate skin readily but are rapidly cleared, whereas long-chain congeners persist in tissues. Model evaluation against empirical data showed good agreement for both chemical groups, with higher accuracy for pesticides. This PBK framework provides a route- and species-specific tool for predicting contaminant kinetics in amphibians and offers new insights into how biphasic ecology and chemical persistence shape bioaccumulation risk.",Chen Shaorong; Xiong Jie; Li Zijian,Environment international,2025,10.1016/j.envint.2025.109954
39612997,Progress on the removal of PFAS contamination in water by different forms of iron-modified biochar.,"Per- and polyfluoroalkyl substances (PFAS) contamination poses a significant threat to human health. Iron-modified biochar is an eco-friendly, cost-effective, and efficient adsorption material. There is a beneficial interaction between iron groups and biochar to remove PFAS from water through adsorption and degradation. The removal mechanism of the iron-modified biochar mainly includes advanced oxidation, iron group reduction, and adsorption. The adsorption mechanism shifted from being dominated by hydrophobic interactions to electrostatic interactions and ion exchange. Different forms of iron-modified biochar showed excellent removal of short-chain PFAS, which is not found in other modified biochar. Few existing studies have systematically investigated the role of various forms of iron-modified biochar in PFAS removal. Accordingly, this review explores the following areas, the synthesis methods of different forms of iron-modified biochar, the removal effect on long and short-chain PFAS, the key factors affecting removal capacity and the mechanisms of their interaction, the mechanism of PFAS removal, and the regeneration capacity of the composites. In this study, the potential of different forms of iron-modified biochar for PFAS remediation was explored in depth. To provide new ideas for subsequent studies of PFAS removal using iron-modified biochar.",Teng Binglu; Zhao Zhenhua; Xia Liling; Wu Jiangxuan; Wang Hailong,Chemosphere,2024,10.1016/j.chemosphere.2024.143844
36181932,Per- and polyfluoroalkyl substances enhance Staphylococcus aureus pathogenicity and impair host immune response.,"Per- and Poly-fluoroalkyl substances (PFAS) are major persistent environmental contaminants. Epidemiological studies have linked PFAS exposures to altered immunity and increased occurrence of infections in children. However, the mechanisms leading to immune susceptibility to bacterial infections remains unclear. To elucidate the mechanism, transcriptional alteration in the Caenorhabditis elegans model caused by a PFAS contaminated environmental water and two reconstituted PFAS solutions were evaluated using RNA-sequencing. PFAS affected the expression of several genes involved in C. elegans immune surveillance to Gram-positive bacteria (cpr-2, tag-38, spp-1, spp-5, clec-7, clec-172). The combined exposure to PFAS and Staphylococcus aureus significantly reduced C. elegans survival and increased intestinal membrane permeability. Furthermore, the growth of S. aureus in the presence of PFAS increased the expression of virulence genes, specifically, the virulence gene regulator saeR and α-hemolysin, hla, which resulted in increased hemolytic activity. The present study demonstrated that PFAS exposure not only increased C. elegans susceptibility to pathogens by reducing host immunity and increasing intestinal membrane permeability, but also increased bacteria virulence. This presents a broader implication for humans and other animals, where environmental contaminants simultaneously reduce host resilience, while, increasing microbial pathogenicity.",Mangu Jagadish Chandra Kumar; Stylianou Marios; Olsson Per-Erik; Jass Jana,"Environmental pollution (Barking, Essex : 1987)",2022,10.1016/j.envpol.2022.120294
36720409,Thermal kinetics of PFAS and precursors in soil: Experiment and surface simulation in temperature-time plane.,"Per- and polyfluoroalkyl substances (PFAS) are chemically and thermally stable due to the presence of carbon-fluorine (C-F) bond in their molecular structures, hence have been previously formulated as firefighting ingredients. During the firefighting process, however, owing to the high temperature, PFAS can be potentially degraded, particularly for PFAS precursors that contain non-C-F bonds, which is studied herein by exposing PFAS-contaminated soil in a muffle furnace oven. Different temperatures and time intervals are applied to the real soil sample to mimic the firing process and to evaluate the degradation and conversion of PFAS. This thermal treatment can not only degrade precursors (e.g. 6:2 fluorotelomer sulphonate), but also degrade perfluoroalkyl carboxylates (PFCA, e.g. perfluorooctanoic acid PFOA) and perfluoroalkyl sulfonates (PFSA, e.g. perfluorooctane sulfonate PFOS). The concentration dependence of the PFAS on temperature and time is fitted using a 2D Gaussian surface to simulate the complex thermal kinetic, and to compare with the traditional approach such as thermogravimetric analysis (TGA) (1D dependence on temperature only). The 2D simulation can directly visualise the thermal kinetic of individual or sum PFAS in the complex temperature-time plane, which depends on the sample background and particularly on the coexist PFAS precursors. Overall, this study provides a simple approach to monitor and optimise the thermal treatment of the PFAS-contaminated soil.",Al Amin Md; Luo Yunlong; Nolan Annette; Mallavarapu Megharaj; Naidu Ravi,Chemosphere,2023,10.1016/j.chemosphere.2023.138012
40188601,"Per- and polyfluoroalkyl substances (PFAS) in drinking water, gestational diabetes mellitus, hypertension and preeclampsia: A nation-wide register-based study on PFAS in drinking water.","There is inconclusive evidence of associations between exposure to per- and polyfluoroalkyl substances (PFAS) and diabetes and hypertensive disorders during pregnancy. We conducted a nation-wide register-based cohort study to assess the associations of the estimated maternal drinking water exposure to the sum of four major PFAS (PFAS4; perfluorooctane sulfonate (PFOS), perfluorooctanoate (PFOA), perfluorononanoate (PFNA) and perfluorohexanoate (PFHxS)) with gestational diabetes mellitus (GDM), hypertension and preeclampsia. We included nulliparous women giving birth in Sweden during 2012-2018 in large localities served by municipal drinking water where PFAS were measured in raw and drinking water. Using a one-compartment toxicokinetic model, we estimated cumulative maternal blood levels of PFAS4 during pregnancy considering residential history, municipal PFAS water concentration and year-specific maternal PFAS background serum levels. The outcomes and individual covariates were ascertained via register linkage. Mean values and 95% Confidence Intervals (CI) of Odds Ratios (OR) were estimated by logistic regression. Among the 109,031 nulliparous women included, with an estimated average 7.8 ng PFAS4/mL serum (standard deviation: 2.0 ng/mL), there were indications of a non-monotonic inverse association for PFAS4 and GDM, corresponding to multivariable-adjusted OR 0.72 (95 % CI: 0.61-0.84) when comparing extreme quartiles. An inverse association were also seen for each PFAS individually. No clear associations were seen for hypertension or preeclampsia, although individual PFAS indicated significant associations, both inverse (PFAS and PFHxS) and direct (PFOS and PFNA) for hypertension. In the present study, we observed indications of inverse, non-monotonic associations for PFAS4 and GDM. Some individual PFAS were also associated with hypertension, both direct and inverse. The limitations linked to the exposure assessment still require caution in the interpretation.",Säve-Söderbergh Melle; Gyllenhammar Irina; Schillemans Tessa; Lindfeldt Emelie; Vogs Carolina,Environment international,2025,10.1016/j.envint.2025.109415
39585294,A prescription for engineering PFAS biodegradation.,"Per- and polyfluorinated chemicals (PFAS) are of rising concern due to environmental persistence and emerging evidence of health risks to humans. Environmental persistence is largely attributed to a failure of microbes to degrade PFAS. PFAS recalcitrance has been proposed to result from chemistry, specifically C-F bond strength, or biology, largely negative selection from fluoride toxicity. Given natural evolution has many hurdles, this review advocates for a strategy of laboratory engineering and evolution. Enzymes identified to participate in defluorination reactions have been discovered in all Enzyme Commission classes, providing a palette for metabolic engineering. In vivo PFAS biodegradation will require multiple types of reactions and powerful fluoride mitigation mechanisms to act in concert. The necessary steps are to: (1) engineer bacteria that survive very high, unnatural levels of fluoride, (2) design, evolve, and screen for enzymes that cleave C-F bonds in a broader array of substrates, and (3) create overall physiological conditions that make for positive selective pressure with PFAS substrates.",Wackett Lawrence P; Robinson Serina L,The Biochemical journal,2024,10.1042/BCJ20240283
39159775,Chemical exposome and children health: Identification of dose-response relationships from meta-analyses and epidemiological studies.,"Health impact assessment studies quantifying the impact of the chemical exposome on children's health generally consider a small fraction of the exposome. Synthetizing available dose-response relationships is an essential step to fill this gap. We reviewed the literature for dose-response relationships relating the chemical exposome with children health. We focused on 78 substance-outcome pairs for which the level of evidence had previously been classified as 'likely' or 'very likely'. We searched for dose-response relationships for these pairs from meta-analyses and, if none was available, from single epidemiological studies, from which we conducted meta-analyses whenever possible. We identified dose-response relationships for 50 of the 78 prioritized substance-outcome pairs (64%). Dose-response relationships stemmed from meta-analyses for 21 pairs, from de novo meta-analyses for 1 pair and single studies for 28 pairs. Dose-response relationships were available for tobacco (fetal and infant death, congenital heart defects, birth outcomes, orofacial clefts, respiratory health), lead (asthma, cognition, delayed puberty onset and iron deficiency anaemia), polychlorobiphenyls (PCBs) (cognition, respiratory infections and birth outcomes), bisphenol A (cognition), hexachlorobenzene (HCB) (respiratory health), Polybrominated diphenyl ethers (neurodevelopment), DDT (hypospadias, cryptorchidism, miscarriage), pesticides (neurodevelopment), methylmercury (cognition), PFAS (immune system, birth weight, behavior, miscarriage), arsenic (cognition, birth weight, death, respiratory health), cadmium (cognition, birth weight), manganese (behavior), sodium (blood pressure) and thallium (birth weight). For 28 of the 78 substance-outcome pairs (36%), no dose-response relationship was available from epidemiological studies in children. We identified dose-response relationships for 50 substance-outcome pairs, corresponding to 20 chemicals and 17 health outcomes. These can be used to perform more comprehensive quantitative health impact assessment of the exposome on child health. We also identified 28 substance-outcome pairs corresponding to 'likely' or 'very likely' effects for which research generating dose-response functions in children would be relevant.",Rocabois Audrey; Sanchez Margaux; Philippat Claire; Crépet Amélie; Wies Blanche,Environmental research,2024,10.1016/j.envres.2024.119811
37990410,Binding of Per- and Polyfluoroalkyl Substances (PFAS) to the PPARγ/RXRα-DNA Complex.,"Nuclear receptors are the fundamental building blocks of gene expression regulation and the focus of many drug targets. While binding to DNA, nuclear receptors act as transcription factors, governing a multitude of functions in the human body. Peroxisome proliferator-activator receptor γ (PPARγ) and the retinoid X receptor α (RXRα) form heterodimers with unique properties and have a primordial role in insulin sensitization. This PPARγ/RXRα heterodimer has been shown to be impacted by per- and polyfluoroalkyl substances (PFAS) and linked to a variety of significant health conditions in humans. Herein, a selection of the most common PFAS (legacy and emerging) was studied utilizing molecular dynamics simulations for PPARγ/RXRα. The local and global structural effects of PFAS binding on the known ligand binding pockets of PPARγ and RXRα as well as the DNA binding domain (DBD) of RXRα were inspected. The binding free energies were predicted computationally and were compared between the different binding pockets. In addition, two electronic structure approaches were utilized to model the interaction of PFAS within the DNA binding domain, density functional theory (DFT) and domain-based pair natural orbital coupled cluster with perturbative triples (DLPNO-CCSD(T)) approaches, with implicit solvation. Residue decomposition and hydrogen-bonding analysis were also performed, detailing the role of prominent residues in molecular recognition. The role of l-carnitine is explored as a potential ",Almeida Nuno M S; Bali Semiha Kevser; James Deepak; Wang Cong; Wilson Angela K,Journal of chemical information and modeling,2023,10.1021/acs.jcim.3c01384
37236451,Forever legacies? Profiling historical PFAS contamination and current influence on groundwater used for drinking water.,"A wide range of PFAS residues were studied in an aquifer used for drinking water production which was affected by historical PFAS contamination from a landfill and military camp. Samples were taken at three monitoring and four pumping wells at different depths ranging from 33 to 147 m below the land surface and analysed for a series of 53 PFAS (C2-C14) and PFAS precursors (C4-C24). A comparison of results to earlier research from 2013, with a more limited range of PFAS, showed decreasing concentrations and migration of PFAS with increasing depth and distance from the contamination source. The PFAS profile and branched/linear isomer ratio are used as source characterization tools. The landfill was confirmed to contaminate the groundwater in both monitoring wells, while the military camp was indicated as a probable source for PFAS observed in the deep sampling points of one of the monitoring wells. Pumping wells used to produce drinking water are not yet affected by these two PFAS sources. In one of the four sampled pumping wells, a different PFAS profile and isomer pattern was observed, which indicated a different but yet unknown source. This work shows the necessity of implementing regular screening to identify potential (historical) PFAS sources to be able to prevent future contaminant migration nearby and towards drinking water abstraction wells.",Sadia Mohammad; Kunz Marlene; Ter Laak Thomas; De Jonge Martin; Schriks Merijn,The Science of the total environment,2023,10.1016/j.scitotenv.2023.164420
37364117,Confined water-encapsulated activated carbon for capturing short-chain perfluoroalkyl and polyfluoroalkyl substances from drinking water.,"The global ecological crisis of perfluoroalkyl and polyfluoroalkyl substances (PFASs) in drinking water has gradually shifted from long-chain to short-chain PFASs; however, the widespread established PFAS adsorption technology cannot cope with the impact of such hydrophilic pollutants given the inherent defects of solid-liquid mass transfer. Herein, we describe a reagent-free and low-cost strategy to reduce the energy state of short-chain PFASs in hydrophobic nanopores by employing an in situ constructed confined water structure in activated carbon (AC). Through direct (driving force) and indirect (assisted slip) effects, the confined water introduced a dual-drive mode in the confined water-encapsulated activated carbon (CW-AC) and completely eliminated the mass transfer barrier (3.27 to 5.66 kcal/mol), which caused the CW-AC to exhibit the highest adsorption capacity for various short-chain PFASs (C-F number: 3-6) among parent AC and other adsorbents reported. Meanwhile, benefiting from the chain length- and functional group-dependent confined water-binding pattern, the affinity of the CW-AC surpassed the traditional hydrophobicity dominance and shifted toward hydrophilic short-chain PFASs that easily escaped treatment. Importantly, the ability of CW-AC functionality to directly transfer to existing adsorption devices was verified, which could treat 21,000 bed volumes of environment-related high-load (~350 ng/L short-chain PFAS each) real drinking water to below the World Health Organization's standard. Overall, our results provide a green and cost-effective in situ upgrade scheme for existing adsorption devices to address the short-chain PFAS crisis.",Shi Yuanji; Mu Hongxin; You Jiaqian; Han Chenglong; Cheng Huazai,Proceedings of the National Academy of Sciences of the United States of America,2023,10.1073/pnas.2219179120
32143379,Application of the Key Characteristics of Carcinogens to Per and Polyfluoroalkyl Substances.,"Per- and polyfluoroalkyl substances (PFAS) constitute a large class of environmentally persistent chemicals used in industrial and consumer products. Human exposure to PFAS is extensive, and PFAS contamination has been reported in drinking water and food supplies as well as in the serum of nearly all people. The most well-studied member of the PFAS class, perfluorooctanoic acid (PFOA), induces tumors in animal bioassays and has been associated with elevated risk of cancer in human populations. GenX, one of the PFOA replacement chemicals, induces tumors in animal bioassays as well. Using the Key Characteristics of Carcinogens framework for cancer hazard identification, we considered the existing epidemiological, toxicological and mechanistic data for 26 different PFAS. We found strong evidence that multiple PFAS induce oxidative stress, are immunosuppressive, and modulate receptor-mediated effects. We also found suggestive evidence indicating that some PFAS can induce epigenetic alterations and influence cell proliferation. Experimental data indicate that PFAS are not genotoxic and generally do not undergo metabolic activation. Data are currently insufficient to assess whether any PFAS promote chronic inflammation, cellular immortalization or alter DNA repair. While more research is needed to address data gaps, evidence exists that several PFAS exhibit one or more of the key characteristics of carcinogens.",Temkin Alexis M; Hocevar Barbara A; Andrews David Q; Naidenko Olga V; Kamendulis Lisa M,International journal of environmental research and public health,2020,10.3390/ijerph17051668
38402937,"Exposure to per- and polyfluoroalkyl substance and metabolic syndrome: A nationally representative cross-sectional study from NHANES, 2003-2018.","Per- and polyfluoroalkyl substances(PFAS) are widespread organic pollutants with endocrine-disrupting effects on human health, but the association of PFAS exposure with metabolic syndrome remains conflicting. National Health and Nutrition Examination Survey(NHANES) program was utilized to evaluate the association of individual PFAS exposure and metabolic disorders and further determined the joint effect of PFAS co-exposures. 13921 participants and five PFAS exposures(PFHxS, MPAH, PFDE, PFNA, and PFUA) were included for analysis. The association between individual PFAS and metabolic syndrome varied in the specific PFAS and the specific metabolic disorder examined. PFHxS was negatively associated with obesity(Q4; OR = 0.75; P < 0.001), but positively associated with hyperlipidemia (Q3; OR = 1.2; P = 0.013). PFUA was negatively associated with obesity (Q4; OR = 0.6; P < 0.001), hyperlipidemia (Q3; OR = 0.85; P = 0.03), and non-alcoholic fatty liver disease (NAFLD, Q4; OR = 0.64; P = 0.015), but positively associated with hyperglycemia(Q3; OR = 1.27; P = 0.004). Furthermore, PFAS co-exposures were negatively associated with obesity(OR = 0.63; P < 0.001) and NAFLD(OR = 0.85; P = 0.021), and positively associated with hyperlipidemia(OR = 1.05; P = 0.022), but not significantly associated with hyperglycemia or hypertension. Overall, there was a negative association between PFAS co-exposures and metabolic severity score(β = -0.15; P < 0.001). Subgroup analysis stratified by gender and obesity consistently showed the negative association of PFAS co-exposures with metabolic severity score, and the positive association with hyperlipidemia. However, subgroup analysis showed a negative association with NAFLD in females but not in males, and a negative association with hyperglycemia in the obesity group, but not in the non-obesity group. Collectively, our study showed a negative association of PFAS co-exposures with metabolic syndrome severity score, but did not support a consistent association between PFAS co-exposures and individual components of metabolic syndrome. Additionally, there were gender-specific as well as BMI-specific differences in these associations. Further studies are needed to rule out the reverse causality and clarify the relationship of PFAS co-exposures with the specific metabolic disorder.",Wu Maolan; Zhu Zewu; Wan Rongjun; Xu Jiangyue,"Environmental pollution (Barking, Essex : 1987)",2024,10.1016/j.envpol.2024.123615
33490051,Challenges and Current Status of the Biological Treatment of PFAS-Contaminated Soils.,"Per- and polyfluoroalkyl substances (PFAS) are Synthetic Organic Compounds (SOCs) which are of current concern as they are linked to a myriad of adverse health effects in mammals. They can be found in drinking water, rivers, groundwater, wastewater, household dust, and soils. In this review, the current challenge and status of bioremediation of PFAs in soils was examined. While several technologies to remove PFAS from soil have been developed, including adsorption, filtration, thermal treatment, chemical oxidation/reduction and soil washing, these methods are expensive, impractical for ",Shahsavari Esmaeil; Rouch Duncan; Khudur Leadin S; Thomas Duncan; Aburto-Medina Arturo,Frontiers in bioengineering and biotechnology,2020,10.3389/fbioe.2020.602040
