pmid,title,authors,journal,year,doi,abstract,pfas_compounds,toxicity_aspects,mechanisms,keywords,fulltext
38782768,Identifying novel mechanisms of per- and polyfluoroalkyl substance-induced hepatotoxicity using FRG humanized mice.,Robarts Dakota R; Paine-Cabrera Diego; Kotulkar Manasi; Venneman Kaitlyn K; Gunewardena Sumedha,Archives of toxicology,2024,10.1007/s00204-024-03789-0,"Per- and polyfluoroalkyl substances (PFAS) such as perfluorooctanoic acid (PFOA) and perfluorooctane sulfonic acid (PFOS) and perfluoro-2-methyl-3-oxahexanoic acid (GenX), the new replacement PFAS, are major environmental contaminants. In rodents, these PFAS induce several adverse effects on the liver, including increased proliferation, hepatomegaly, steatosis, hypercholesterolemia, nonalcoholic fatty liver disease and liver cancers. Activation of peroxisome proliferator receptor alpha by PFAS i",PFOA; PFOS; GenX,toxicity; toxic; adverse; cancer; liver,mechanism; receptor; activation; inhibition; binding,Circadian rhythm; GenX; Humanized mice; PFAS; PFOA; PFOS; RNA-Seq,
40806648,Perfluoroalkyl Substance (PFAS) Mixtures Drive Rheumatoid Arthritis Risk Through Immunosuppression: Integrating Epidemiology and Mechanistic Evidence.,Lv Yanming; Zhao Chunlong; Xiang Yi; Fu Wenhao; Li Jiaqi,International journal of molecular sciences,2025,10.3390/ijms26157518,"Perfluoroalkyl substances (PFASs) possess immunosuppressive properties. However, their association with rheumatoid arthritis (RA) risk remains inconclusive across epidemiological studies. This study integrates population-based and mechanistic evidence to clarify the relationship between PFAS exposure and RA. We analyzed 8743 U.S. adults from the NHANES (2005-2018), assessing individual and mixed exposures to PFOA, PFOS, PFNA, and PFHxS using multivariable logistic regression, Bayesian kernel mac",PFOA; PFOS; PFNA; PFHxS,toxic; immune,,Bayesian kernel machine regression (BKMR); NHANES; mixture exposure; molecular docking; perfluoroalkyl substances (PFAS); rheumatoid arthritis,
41086909,Synergistic toxicity of PFAS and microplastic mixtures across five human cell lines.,Sands Mia; Sachdeva Arshveer; Bukavina Laura; Irudayaraj Joseph,"Environmental pollution (Barking, Essex : 1987)",2025,10.1016/j.envpol.2025.127256,"Per- and polyfluoroalkyl substances and microplastics (MPs) are ubiquitous environmental contaminants that frequently co-occur in aquatic ecosystems and human exposure pathways. While their individual toxicities have been extensively studied, the combined effects of PFAS and MP co-exposure on human health remain poorly understood. This study evaluated cytotoxic, oxidative, and genotoxic responses in five human-derived cell lines-A498 (kidney), HepG2 (liver), PC3 (prostate), A431 (skin), and A549",PFOA; GenX,toxicity; toxic; liver,mechanism; pathway; oxidative stress; activation,DNA damage; Microplastics; Mixture; Oxidative stress; PFAS,
32271623,"Evaluation of Developmental Toxicity, Developmental Neurotoxicity, and Tissue Dose in Zebrafish Exposed to GenX and Other PFAS.",Gaballah Shaza; Swank Adam; Sobus Jon R; Howey Xia Meng; Schmid Judith,Environmental health perspectives,2020,10.1289/EHP5843,"Per- and polyfluoroalkyl substances (PFAS) are a diverse class of industrial chemicals with widespread environmental occurrence. Exposure to long-chain PFAS is associated with developmental toxicity, prompting their replacement with short-chain and fluoroether compounds. There is growing public concern over the safety of replacement PFAS.",GenX,toxicity; toxic; developmental,,,
36947184,A review of cardiovascular effects and underlying mechanisms of legacy and emerging per- and polyfluoroalkyl substances (PFAS).,Wen Zeng-Jin; Wei Yi-Jing; Zhang Yi-Fei; Zhang Yin-Feng,Archives of toxicology,2023,10.1007/s00204-023-03477-5,"Cardiovascular disease (CVD) poses the leading threats to human health and life, and their occurrence and severity are associated with exposure to environmental pollutants. Per- and polyfluoroalkyl substances (PFAS), a group of widely used industrial chemicals, are characterized by persistence, long-distance migration, bioaccumulation, and toxicity. Some PFAS, particularly perfluorooctane sulfonic acid (PFOS), perfluorooctanoic acid (PFOA) and perfluorohexanesulfonic acid (PFHxS), have been bann",PFOA; PFOS; PFHxS,toxicity; toxic; adverse,mechanism; pathway; oxidative stress,Cardiac toxicity; Dyslipidemia; Emerging PFAS alternative; Hypertension; Legacy PFAS; Vascular disorder,
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,Dragon Julie; Hoaglund Michael; Badireddy Appala Raju; Nielsen Greylin; Schlezinger Jennifer,International journal of molecular sciences,2023,10.3390/ijms24108539,"Adverse lung outcomes from exposure to per-and polyfluoroalkyl substances (PFAS) are known; however, the mechanism of action is poorly understood. To explore this, human bronchial epithelial cells were grown and exposed to varied concentrations of short-chain (perfluorobutanoic acid, perflurobutane sulfonic acid and GenX) or long-chain (PFOA and perfluorooctane sulfonic acid (PFOS)) PFAS, alone or in a mixture to identify cytotoxic concentrations. Non-cytotoxic concentrations of PFAS from this e",PFOA; PFOS; GenX,toxic; adverse; immune,mechanism; activation,PFAS; inflammasome; inflammation; lung,
40609416,Assessing the effect of perfluoroalkyl and polyfluoroalkyl substances on cardiovascular-kidney-metabolic syndrome: Insights from an interpretable machine learning model.,Zheng Zidan; Xu Yuyan; Kang Ning; Dong Yiwen; Wang Xin,The Science of the total environment,2025,10.1016/j.scitotenv.2025.180003,"Cardiovascular-kidney-metabolic syndrome (CKM) and its association with exposure to emerging pollutants, particularly perfluoroalkyl and polyfluoroalkyl substances (PFAS), present significant challenges for environmental public health and risk prediction. This study utilized cross-sectional data from the National Health and Nutrition Examination Survey (NHANES), conducted from 2015 to 2020, involving a total of 1953 participants. The diagnosis and staging of CKM were performed according to the d",PFOS,,,Cardiovascular-kidney-metabolic syndrome; Machine learning; National health and nutrition examination survey; Perfluoroalkyl and polyfluoroalkyl substances; Risk assessment,
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per- and polyfluoroalkyl substances (PFAS) in human biomonitoring.,Bil Wieneke; Ehrlich Veronika; Chen Guangchao; Vandebriel Rob; Zeilmaker Marco,Environment international,2023,10.1016/j.envint.2022.107727,"Relative potency factors (RPFs) for per- and polyfluoroalkyl substances (PFAS) have previously been derived based on liver effects in rodents for the purpose of performing mixture risk assessment with primary input from biomonitoring studies. However, in 2020, EFSA established a tolerable weekly intake for four PFAS assuming equal toxic potency for immune suppressive effects in humans. In this study we explored the possibility of deriving RPFs for immune suppressive effects using available data ",PFOA; PFOS; PFNA; PFDA; PFHxA; PFBS; PFHxS,toxicity; toxic; immune; liver,,Chemical mixtures; HBM4EU; Human biomonitoring; Immunotoxicity; PFAS; Relative potency factor; Risk assessment,
41666250,Structural Insights into PFAS-β-Lactoglobulin-Binding Mechanism Mediating PFAS Toxicity.,Verma Shalja; Singh Anika; Ramirez Orozco Randhal S; Vukovic Lela; Narayan Mahesh,Biochemistry,2026,10.1021/acs.biochem.5c00606,"The strong, polar covalent nature of C-F bonds contributes to the permanent nature of per- and polyfluoroalkyl substances (PFAS). PFAS are toxic to humans. Here, we have examined the ability of the small, globular milk protein β-lactoglobulin to bind PFAS. This protein transports hydrophobic and amphiphilic compounds, including retinol and fatty acids, for vision and brain development; therefore, understanding its interactions with PFAS is significant. The crystal structures of β-lactoglobulin c",PFOA; PFOS; PFDA,toxicity; toxic,mechanism; binding,,
40728694,Per- and Polyfluoroalkyl Substances (PFAS) Enhance Cholesterol Accumulation and Dysregulate Inflammatory Responses in Macrophages.,Connolly Jack C; Ishihara Yasuhiro; Sawaya Emma; Whitfield Valerie; Garrity Nicole,Cardiovascular toxicology,2025,10.1007/s12012-025-10048-w,"Epidemiological studies and in vivo animal models have shown that exposure to PFAS can lead to cardiovascular toxicity and promote atherosclerosis. In this study, we explored the effects of PFOA and PFOS exposure on lipid accumulation in macrophages and analyzed critical markers of foam cell formation, which are early precursors of atherosclerotic lesions. Our results demonstrate that PFOS and PFOA enhance lipid and cholesterol accumulation in human U937-derived macrophages, which is characteris",PFOA; PFOS,toxicity; toxic; immune,oxidative stress; receptor,Cardiovascular disease; Cytokines; Foam cells; Lipids; Macrophages; PFAS; PPAR; SARS-CoV-2,
36731186,High-content analysis shows synergistic effects of low perfluorooctanoic acid (PFOS) and perfluorooctane sulfonic acid (PFOA) mixture concentrations on human breast epithelial cell carcinogenesis.,Pierozan Paula; Kosnik Marissa; Karlsson Oskar,Environment international,2023,10.1016/j.envint.2023.107746,"Perfluoroalkyl substances (PFAS) have been associated with cancer, but the potential underlying mechanisms need to be further elucidated and include studies of PFAS mixtures. This mechanistic study revealed that very low concentrations (500 pM) of the binary PFOS and PFOA mixture induced synergistic effects on human epithelial breast cell (MCF-10A) proliferation. The cell proliferation was mediated by pregnane X receptor (PXR) activation, an increase in cyclin D1 and CDK6/4 levels, decrease in p",PFOA; PFOS,toxic; cancer,mechanism; oxidative stress; receptor; activation,Breast cancer; Cell invasion; Cell painting; Chemical mixture; Cocktail effect; Epigenetics; High-content screening; Histone modifications; Mixture toxicology; NAMs; Oxidative stress; PFAS; PXR,
40658020,"PFAS in animal by-products in Lanzhou, China, and health risk assessment.",Cheng Yan; Gao Xiangna; Liu Deng; Yu Haiying; Li Yongjun,"Food additives & contaminants. Part B, Surveillance",2025,10.1080/19393210.2025.2521659,"Per- and polyfluoroalkyl substances (PFAS) are an emerging class of organic compounds that are widely used in industrial production and therefore can be found in the environment. Dietary intake is the main route of human exposure to PFAS, especially in animal-derived foods. In this study, 25 PFAS compounds were determined in 234 animal by-products sold in Lanzhou City, China, by LC-MS/MS. In total 22 PFAS compounds were detected, among which PFBA and PFOS were detected most frequently, with aver",PFOS; PFBA,liver,,Perfluorinated compounds; animal by-products; animal offal,
41307504,"A Critical Review of PFAS Analysis, Occurrence, and Fate in Wastewater Treatment Plants.",Liu Juhe; Charbonnet Joseph A,Environmental science & technology,2025,10.1021/acs.est.5c09949,"Wastewater treatment plants (WWTPs) receive per- and polyfluoroalkyl substances (PFAS)-containing waste streams including municipal sewage, industrial waste, landfill leachate, and firefighting wastewater. The widespread use of PFAS in commercial and industrial applications results in complex mixtures entering WWTPs. Given the centrality of WWTPs to the cycling of these harmful contaminants, comprehensive identification and quantification of PFAS in WWTPs is an essential research topic. Herein w",PFOA; PFOS,,,adsorption; global distribution; publicly owned treatment works (POTW); transformation; water resource recovery facility (WRRF),
38914254,Emerging perfluoroalkyl substances retard skeletal growth by accelerating osteoblasts senescence via ferroptosis.,Wang Xinglong; Wang Kehan; Mao Wenwen; Fan Zhencheng; Liu Tingting,Environmental research,2024,10.1016/j.envres.2024.119483,"Due to the persistent nature and significant negative impacts of perfluorooctanoic acid (PFOA) on human health and other organisms, the emergence of new PFOA alternatives, such as perfluoro (2-methyl-3-oxhexanoic) acid (GenX) and perfluoro-3,6,9-trioxyundecanoic acid (PFO3TDA), have drawn significant attention. However, the toxic effects of PFOA and its substitutes on bones remain limited. In this study, we administered different concentrations of PFOA, GenX, and PFO3TDA via gavage to 3-week-old",PFOA; GenX,toxic,,Ferroptosis; GenX; PFO3TDA; PFOA; Senescence,
36610509,Contact to perfluoroalkyl substances and thyroid health effects: A meta-analysis directing on pregnancy.,Zhang Lei; Liang Jiayi; Gao Ai,Chemosphere,2023,10.1016/j.chemosphere.2023.137748,"In vivo, in vitro, and epidemiological evidence suggests that perfluoroalkyl substances (PFAS) may alter thyroid function in human health, with negative effects on maternal and fetal development outcomes. However, data on the effects of PFAS on thyroid hormones remain controversial. Here, we conducted a meta-analysis of 13 eligible studies searched from Embase, PubMed, and Web of Science by July 10, 2022, to explore the relationship between maternal exposure to PFAS and thyroid health effects, i",PFOA; PFOS; PFDA,health effect; thyroid,,Meta-analysis; Perfluoroalkyl substances; Pregnant woman; Thyroid hormone,
39278030,"Legacy and alternative per- and polyfluoroalkyl substances spatiotemporal distribution in China: Human exposure, environmental media, and risk assessment.",Li Jing; Duan Wenjing; An Ziwen; Jiang Zexuan; Li Longfei,Journal of hazardous materials,2024,10.1016/j.jhazmat.2024.135795,"In recent decades, China's rapid development has led to significant environmental pollution from the widespread use of chemical products. Per- and polyfluoroalkyl substances (PFAS) are among the most concerning pollutants due to their persistence and bioaccumulation. This article assesses PFAS exposure levels, distribution, and health risks in Chinese blood, environment, and food. Out of 4037 papers retrieved from November 2022 to December 31, 2023, 351 articles met the criteria. Findings show p",PFOA; PFOS,,,Exposure levels; Per- and polyfluoroalkyl substances; Spatial distribution; Temporal distribution,
40024759,"Per- and polyfluoroalkyl substances: toxicokinetics, exposure and health risks.",Fujii Yukiko; Harada Kouji H,The Journal of toxicological sciences,2025,10.2131/jts.50.97,"Per- and polyfluoroalkyl substances (PFAS) are a group of chemicals containing stable per- or polyfluoroalkyl groups. Recent epidemiological studies have shown that PFAS cause health risks even at low concentrations. This review outlines the toxicokinetics, exposure and health risks of PFAS, with a focus on perfluorooctane sulfonic acid (PFOS), perfluorooctanoic acid (PFOA), and long-chain perfluoroalkyl carboxylic acids (LC-PFCAs). These compounds are known to interact with various proteins in ",PFOA; PFOS,toxicity; toxic; liver,receptor,PFCA; PFOA; PFOS; Perfluorooctane sulfonic acid; Perfluorooctanoic acid; Toxicity,
34373583,Computational estimates of daily aggregate exposure to PFOA/PFOS from 2011 to 2017 using a basic intake model.,East Alexander; Egeghy Peter P; Hubal Elaine A Cohen; Slover Rachel; Vallero Daniel A,Journal of exposure science & environmental epidemiology,2023,10.1038/s41370-021-00374-w,"Human exposure to per- and polyfluoroalkyl substances has been modeled to estimate serum concentrations. Given that the production and use of these compounds have decreased in recent years, especially PFOA and PFOS, and that additional concentration data have become available from the US and other industrialized countries over the past decade, aggregate median intakes of these two compounds were estimated using more recent data.",PFOA; PFOS,,,Aggregate daily; Exposure model; PFOA; PFOS,
35063834,Occurrence and fate of poly- and perfluoroalkyl substances (PFAS) in urban waters of New Zealand.,Lenka Swadhina Priyadarshini; Kah Melanie; Padhye Lokesh P,Journal of hazardous materials,2022,10.1016/j.jhazmat.2022.128257,"Information on the occurrence of PFAS in aquatic matrices of countries with no PFAS manufacturing, e.g., New Zealand, is limited. Also, the fingerprint of PFAS along an urban water cycle, following water path from wastewater treatment plant (WWTP) effluent to treated drinking water has not been widely assessed. Hence, 38 long-, short-, ultrashort-chain PFAS and fluorinated alternatives (including precursors) were monitored in this study by collecting composite samples from two urban WWTPs of New",PFOS; PFHxA,,,Coastal water; DWTP; PFPrA; Precursors; Short-chain PFCAs; Ultrashort-chain PFAS; WWTP,
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pathways of perfluorinated and polyfluoroalkyl substances (PFAS): An integrated network toxicology and molecular docking strategy.,Lin Zhi; Li Yvmo; Zhao Jiarui; Li Jun; Pan Shuang,Heliyon,2024,10.1016/j.heliyon.2024.e37003,"The objective of this study was to investigate the potential carcinogenic toxicity and mechanisms of PFAS in thyroid, renal, and testicular cancers base on network toxicology and molecular docking techniques. Structural modeling was performed to predict relevant toxicity information, and compounds and cancer-related targets were screened in multiple databases. The interaction of PFAS with three cancers and their key protein targets were explored by combining protein network analysis, enrichment ",PFOA; PFOS; PFHxS,toxicity; toxic; cancer; thyroid,mechanism; pathway; receptor; activation,Carcinogenic pathways; Molecular docking; Network toxicology; PFAS,
